,Prum_name,humerus,radius,carpometacarpus,femur,tibiotarsus,tarsometatarsus,ontogeny,Genus,Species,Family,Order,Mass_M_.hbw_alive.,Mass_F_.hbw_alive.,R_name
99,Phaethon_rubricauda,83.0906836862429,83.2391750146695,40.8510705339075,31.0779031718286,46.2778627212334,22.2560649019276,Altricial_1,Phaethon,lepturus, Phaethontidae,Phaethontiformes,315,315,Phaethon_lepturus_NHMUK_1876.3.16.3
100,Phalacrocorax_brasilianus,142.706829551635,147.647315499715,58.8847882208243,61.869885586558,108.524203336245,59.0703212361993,Altricial_2,Phalacrocorax,albiventer,Phalacrocoracidae,Suliformes,2722.5,2243.5,Phalacrocorax_albiventer_NHMUK_S_2012.36.1
101,Phoenicopterus_ruber,186.520558073334,195.724769061702,81.6088912905195,79.2157687581888,301.79604325355,275.859151692808,Semiprecocial,Phoenicopterus,roseus,Phoenicopteridae,Phoenicopteriformes,3100,3100,Phoenicopterus_roseus_UMZC_346B_ALL
102,Phoeniculus_purpureus,32.6184562847007,35.6029516597336,18.0146280860091,26.0665160896226,37.5194589644026,23.1113368764462,Altricial_1,Phoeniculus,purpureus,Phoeniculidae,Bucerotiformes,76.5,63.5,Phoeniculus_purpureus_FMNH_368956
103,Picus_canus,38.2711505648943,42.6966722986648,21.492696293306,30.2763430718239,40.6421076867073,29.8659630648118,Altricial_2,Picus,viridis,Picidae,Piciformes,194,194,Picus_viridis_NHMUK_NHMUK_S1982.5.1
104,Piprites_chloris,16.1402025091111,17.9411299186829,9.59040202672813,15.5291903609002,23.1457807589894,16.2983382812402,Altricial_2,Piprites,chloris,Tyrannidae,Passeriformes,18,18,Piprites_chloris_FMNH_290398
105,Poecile_lugubris,13.0448174595932,14.0007301577725,8.52344917494002,12.2110263752766,21.2798253746804,15.5961007710418,Altricial_2,Poecile,atricapillus, Paridae, Passeriformes,11.6,11.6,Poecile_atricapillis_FMNH_504323
106,Porphyrio_porphyrio,80.4594079322076,67.6977653858806,48.3303030755457,73.3180846539596,127.097841890496,88.8317716057639,Precocial_3,Porphyrio,poliocephalus,Rallidae,Gruiformes,869,724,Porphyrio_poliocephalus_NHMUK_S1952.1.93
107,Probosciger_aterrimus,71.7376726043497,85.8715912068278,41.7887607923664,54.7592947420346,78.8288937732879,21.1313875764966,Altricial_2,Probosciger,aterrimus,Cacatuidae,Psittaciformes,775,775,Probosciger_aterriumus_NHMUK_S2006.15.5
108,Psittacus_erithacus,55.2837889731531,62.6057740830401,35.4799052176003,45.0784292690985,59.9778895444795,19.0198407432982,Altricial_2,Psittacus,erithacus,Psittacidae,Psittaciformes,446,446,Psittacus_erithacus_NHMUK_S1992.41.60_
109,Psittrichas_fulgidus,71.2587624048764,79.2580277176681,43.0070776342737,51.8570451456045,68.0048633472427,20.719780743151,Altricial_2,Psittrichas,fulgidus, Psittrichasiidae,Psittaciformes,745,745,Psittrichas_fulgidus_YPM_141821
110,Psophia_crepitans,75.4859575479784,63.0439800823348,35.0177302819043,69.706856462932,139.07597225693,111.189759806741,Precocial_3,Psophia,crepitans,Psophiidae,Gruiformes,1145,1145,Psophia_crepitans_FMNH_105783
111,Pterocles_bicinctus,28.4936296201007,30.0359558984578,17.5260636411895,25.8341835755205,31.3697507097575,18.9798148535,Precocial_2,Pterocles,quadricinctus, Pteroclidae,Pterocliformes,180,180,Pterocles_quadricinctus FMNH 319937
112,Ptilinopus_magnificus,33.0436008431851,36.0629149011537,20.3327473101462,30.8075298427601,38.5047725313819,20.1689365974375,Altricial_1,Ptilinopus,lechlancheri,Columbidae,Columbiformes,174,156,Ptilinopus_lechlancheri_FMNH_358261
113,Ptilonorhynchus_violaceus,40.6751025675689,45.9515069982676,25.8027365050902,39.3185726330111,69.9035500514024,49.5225225696956,Altricial_2,Ptilonorhynchus,violaceus,Ptilonorhynchidae,Passeriformes,231.5,214,Ptilonorhynchus_violaceus_UMMZ_155483
114,Puffinus_griseus,58.821307495862,106.103142198876,52.2899737382282,38.7725305617848,81.7539027297211,56.1399196184826,Altricial_1,Puffinus,tenuirostris,Procellariidae, Procellariiformes,705,705,Puffinus_tenuirostris_NHMUK_1850.8.15.152
115,Pycnonotus_macrotis,19.786287937816,20.5232304096918,11.1300647243533,17.9855940060909,29.1187682366763,20.4734678564858,Altricial_2,Pycnonotus,caffer,Pycnonotidae,Passeriformes,34,34,Pycnonotus_caffer_NHMUK_S1986.75.18_01
116,Rallus_longirostris,34.2809013756149,25.4390888022344,17.1035005132651,34.3425350051098,47.1495025553142,31.8664369605261,Precocial_3,Rallus,limnicola,Rallidae,Gruiformes,94,74,Rallus_limnicola_FMNH_501812
117,Ramphastos_ambiguus,51.851573600686,62.189961953921,25.0595391394846,47.825556073213,73.3717612634355,47.3234291118539,Altricial_2,Rhamphastos,ambiguus,Ramphastidae,Piciformes,672.5,672.5,Rhamphastos_ambiguus_NHMUK_S2002.21
118,Recurvirostra_americana,65.6514165279101,64.0841054319464,31.9641855892288,35.0379355269905,101.406746579916,77.4667114344534,Precocial_1,Recurvirostra,avosetta,Recurvirostridae,Charadriiformes,296.5,296.5,Recurvirostra_avosetta_NHMUk_S1962.10
119,Regulus_ignicapilla,9.42369178901426,11.049801398483,6.59328077248846,9.88892516435855,21.4210238335434,18.5211750001229,Altricial_2,Regulus,ignicapillus,Regulidae,Passeriformes,6,6,Regulus_ignicapillus_NHMUK_S1952.2.662_
120,Rhynchocyclus_olivaceus,18.0845302924189,20.4554965658141,10.3216198291971,14.2175817083982,21.1483185720269,16.2384990457926,Altricial_2,Rhynchocyclus,olivaceus,Tyrannidae, Passeriformes,21.4,21.4,Rhynchocyclus_olivaceus_FMNH_330600
121,Rollandia_rolland,56.2233561914595,47.9579763368509,25.2069139312157,29.5347516736462,54.6983959528476,33.6356889936455,Precocial_3,Rollandia,rollandia,Podicipedidae,Podicipediformes,248,424,Rollandia_rollandia_UMMZ_156975
